STATE,STATE_CAT
"MAH	,MAHARASHTRA"
"DLI	,NRI OR OTHERS"
"UTT	,UTTAR PRADESH"
"GUJ	,GUJARAT"
"HARY	,HARYANA"
"PUN	,PUNJAB"
"WES	,WEST BENGAL"
"RAJ	,RAJASTHAN"
"TMU	,TAMIL NADU"
"KRA	,KARNATAKA"
"ADH	,ANDHRA PRADESH"
"MDH	,MADHYA PRADESH"
"BIH	,BIHAR"
"KER	,KERALA"
"ORI	,ORISSA"
"JHA	,JHARKHAND"
"CHHA	,CHHATTISGARH"
"ASS	,ASSAM"
"TEA	,NRI OR OTHERS"
"CA	,NRI OR OTHERS"
"UTK	,UTTARAKHAND"
"HIM	,HIMACHAL PRADESH"
"TLG	,NRI OR OTHERS"
"JMR	,JAMMU & KASHMIR"
"GOA	,GOA"
"CA)	,NRI OR OTHERS"
".	,NRI OR OTHERS"
"TRI	,TIRIPURA"
"SIK	,SIKKIM"
"MNR	,MANIPUR"
"PON	,PONDICHERRY"
"NAG	,NAGALAND"
"MEG	,MEGALAYA"
"DAD	,DADRA & NAGAR
HAVELI"
"AUH	,NRI OR OTHERS"
"MIZ	,MIZORAM"
"DAM	,DAMAN AND DIU"
"DUB	,NRI OR OTHERS"
"ODISH	,ORISSA"
"US	,NRI OR OTHERS"
"UTL	,NRI OR OTHERS"
"AE	,NRI OR OTHERS"
"JAR	,NRI OR OTHERS"
"SG	,NRI OR OTHERS"
"GB	,NRI OR OTHERS"
"CHATT	,CHHATTISGARH"
"ABU	,NRI OR OTHERS"
"ADR	,NRI OR OTHERS"
"JP	,NRI OR OTHERS"
"FRA	,NRI OR OTHERS"
"CN	,NRI OR OTHERS"
"LK	,NRI OR OTHERS"
"SWE	,NRI OR OTHERS"
"NG	,NRI OR OTHERS"
"CDA	,NRI OR OTHERS"
"ASA	,NRI OR OTHERS"
"CAN	,NRI OR OTHERS"
"UTTRA	,UTTARANCHAL"
"KR	,NRI OR OTHERS"
"SA	,NRI OR OTHERS"
"DHA	,NRI OR OTHERS"
"AND	,ANDAMAN AND NICOBAR"
"MARY	,NRI OR OTHERS"
"TEL	,TELANGANA"
"NET	,NRI OR OTHERS"
"NZ	,NRI OR OTHERS"
"MUSC	,NRI OR OTHERS"
"FOA	,NRI OR OTHERS"
"LANTA	,NRI OR OTHERS"
"KW	,NRI OR OTHERS"
"SWI	,NRI OR OTHERS"
"NWY	,NRI OR OTHERS"
"DE	,NRI OR OTHERS"
"BEL	,NRI OR OTHERS"
"TEX	,NRI OR OTHERS"
"LON	,NRI OR OTHERS"
"CZ	,NRI OR OTHERS"
"SHA	,NRI OR OTHERS"
"KE	,NRI OR OTHERS"
"GOI	,NRI OR OTHERS"
"IT	,NRI OR OTHERS"
"ONT	,NRI OR OTHERS"
"BRN	,NRI OR OTHERS"
"RSA	,NRI OR OTHERS"
"KTU	,NRI OR OTHERS"
"PUE	,NRI OR OTHERS"
"KAM	,NRI OR OTHERS"
"PENN	,NRI OR OTHERS"
"DEL	,DELHI"
"MY	,NRI OR OTHERS"
"IND	,NRI OR OTHERS"
"BNK	,NRI OR OTHERS"
"DEC	,NRI OR OTHERS"
"FR	,NRI OR OTHERS"
"HAR	,NRI OR OTHERS"
"TMS	,NRI OR OTHERS"
"TOK	,NRI OR OTHERS"
"NWK	,NRI OR OTHERS"
"HK	,NRI OR OTHERS"
"QAT	,NRI OR OTHERS"
"BHN	,NRI OR OTHERS"
"SAH	,NRI OR OTHERS"
"KEN	,NRI OR OTHERS"
"GEO	,NRI OR OTHERS"
"NP	,NRI OR OTHERS"
"NL	,NRI OR OTHERS"
"HAMPS	,NRI OR OTHERS"
"HAW	,NRI OR OTHERS"
"PAT	,NRI OR OTHERS"
"SING	,NRI OR OTHERS"
"TLK	,NRI OR OTHERS"
"MHM	,NRI OR OTHERS"
