Sr No,BRANCH CODE,BRANCH NAME,STATE,CITY,ZONE,PIN CODE
0,0015,WOOD STREET,WEST BENGAL,KOLKATA,EAST,700017
1,0027,RAIPUR,CHHATTISGARH,RAIPUR,EAST,492001
2,0029,GARIAHAT,WEST BENGAL,KOLKATA,EAST,700019
3,0030,RANCHI,JHARKHAND,RANCHI,EAST,834001
4,0032,DHANBAD,JHARKHAND,DHANBAD,EAST,826001
5,0035,BHUBANESWAR,ORISSA,BHUBANESWAR,EAST,751001
6,0038,GUWAHATI,ASSAM,GUWAHATI,EAST,781005
7,0052,GIRISH PARK,WEST BENGAL,KOLKATA,EAST,700006
8,0055,PATNA,BIHAR,PATNA,EAST,800001
9,0059,SILIGURI,WEST BENGAL,SILIGURI,EAST,734401
10,0068,JAMSHEDPUR,JHARKHAND,JAMSHEDPUR,EAST,831001
11,0069,KHARAGPUR,WEST BENGAL,KHARAGPUR,EAST,721305
12,0070,CUTTACK,ORISSA,CUTTACK,EAST,753001
13,0121,MALDA,WEST BENGAL,MALDA,EAST,732101
14,0127,BOKARO,JHARKHAND,BOKARO,EAST,827004
15,0128,ASANSOL,WEST BENGAL,ASANSOL BDEL,EAST,713303
16,0132,DURGAPUR,WEST BENGAL,DURGAPUR,EAST,713216
17,0137,DIBRUGARH,ASSAM,DIBRUGARH,EAST,786001
18,0138,SILCHAR,ASSAM,SILCHAR,EAST,788005
19,0139,TINSUKIA,ASSAM,TINSUKIA,EAST,786125
20,0140,AGARTALA,TRIPURA,AGARTALA,EAST,799001
21,0146,MADHYAMGRAM,WEST BENGAL,BARASAT,EAST,700129
22,0147,BILASPUR,CHHATTISGARH,BILASPUR,EAST,495001
23,0184,BALASORE,ORISSA,BALASORE,EAST,756001
24,0190,GANGTOK,SIKKIM,RANIPOOL,EAST,737102
25,0191,BARBIL,ORISSA,BARBIL OFFICE,EAST,758035
26,0193,HAZARIBAGH,JHARKHAND,HAZARIBAG OFFICE,EAST,825301
27,0195,AMBIKAPUR,CHHATTISGARH,AMBIKAPUR,EAST,497001
28,0212,JAGDALPUR,CHHATTISGARH,JAGDALPUR,EAST,494001
29,0215,JORHAT,ASSAM,JORHAT,EAST,785001
30,0216,TEZPUR,ASSAM,TEZPUR,EAST,784001
31,0217,DHARMANAGAR,TRIPURA,DHARMANAGAR,EAST,799250
32,0218,JODA,ORISSA,BARBIL OFFICE,EAST,758034
33,0219,GUALI,ORISSA,BARBIL OFFICE,EAST,758035
34,0225,CHANDIKHOLE,ORISSA,CHANDIKHOL OFFICE,EAST,754296
35,0234,PANPOSH,ORISSA,ROURKELA,EAST,769004
36,0252,ANGUL,ORISSA,ANUGUL,EAST,759122
37,0256,TALCHAR,ORISSA,TALCHER,EAST,759100
38,0260,JAIGAON,WEST BENGAL,JAIGON,EAST,736182
39,0262,DOMJUR,WEST BENGAL,HOWRAH CITY,EAST,711405
40,0263,NIMAPADA,ORISSA,NIMAPARA,EAST,752106
41,0264,KODERMA,JHARKHAND,KODERMA OFFICE,EAST,825410
